Energy(ev),  Intensity
 0.00 , 209
 1.00 , 1528
 2.00 , 80312
 3.00 , 260923
 4.00 , 211351
 5.00 , 351502
 6.00 , 346486
 7.00 , 330385
 8.00 , 313816
 9.00 , 295015
 10.00 , 277727
 11.00 , 262879
 12.00 , 248736
 13.00 , 233839
 14.00 , 223496
 15.00 , 215307
 16.00 , 206158
 17.00 , 196408
 18.00 , 187006
 19.00 , 179300
 20.00 , 174611
 21.00 , 171070
 22.00 , 168533
 23.00 , 166701
 24.00 , 165182
 25.00 , 162555
 26.00 , 158887
 27.00 , 154516
 28.00 , 150147
 29.00 , 145866
 30.00 , 141850
 31.00 , 138361
 32.00 , 135275
 33.00 , 132373
 34.00 , 129733
 35.00 , 127285
 36.00 , 125036
 37.00 , 122682
 38.00 , 120029
 39.00 , 117048
 40.00 , 114027
 41.00 , 111187
 42.00 , 108520
 43.00 , 106101
 44.00 , 103777
 45.00 , 101316
 46.00 , 98758
 47.00 , 95858
 48.00 , 92922
 49.00 , 89851
 50.00 , 86984
 51.00 , 84390
 52.00 , 81793
 53.00 , 79563
 54.00 , 77739
 55.00 , 76073
 56.00 , 74677
 57.00 , 73468
 58.00 , 72415
 59.00 , 71332
 60.00 , 70274
 61.00 , 69162
 62.00 , 67919
 63.00 , 66762
 64.00 , 65599
 65.00 , 64504
 66.00 , 63470
 67.00 , 62617
 68.00 , 61648
 69.00 , 60819
 70.00 , 60064
 71.00 , 59281
 72.00 , 58465
 73.00 , 57748
 74.00 , 56931
 75.00 , 56013
 76.00 , 55207
 77.00 , 54134
 78.00 , 52975
 79.00 , 51660
 80.00 , 50564
 81.00 , 49383
 82.00 , 48395
 83.00 , 47462
 84.00 , 46594
 85.00 , 45657
 86.00 , 44925
 87.00 , 44260
 88.00 , 43583
 89.00 , 42946
 90.00 , 42419
 91.00 , 41938
 92.00 , 41517
 93.00 , 41039
 94.00 , 40689
 95.00 , 40437
 96.00 , 40115
 97.00 , 39872
 98.00 , 39573
 99.00 , 39293
 100.00 , 39108
 101.00 , 38923
 102.00 , 38665
 103.00 , 38558
 104.00 , 38358
 105.00 , 38246
 106.00 , 38081
 107.00 , 38000
 108.00 , 37948
 109.00 , 37897
 110.00 , 37842
 111.00 , 37758
 112.00 , 37763
 113.00 , 37813
 114.00 , 37786
 115.00 , 37829
 116.00 , 37835
 117.00 , 37829
 118.00 , 37891
 119.00 , 37986
 120.00 , 38039
 121.00 , 38067
 122.00 , 38212
 123.00 , 38283
 124.00 , 38305
 125.00 , 38345
 126.00 , 38439
 127.00 , 38473
 128.00 , 38508
 129.00 , 38549
 130.00 , 38600
 131.00 , 38548
 132.00 , 38564
 133.00 , 38533
 134.00 , 38531
 135.00 , 38522
 136.00 , 38506
 137.00 , 38466
 138.00 , 38501
 139.00 , 38436
 140.00 , 38372
 141.00 , 38455
 142.00 , 38467
 143.00 , 38511
 144.00 , 38561
 145.00 , 38650
 146.00 , 38667
 147.00 , 38755
 148.00 , 38924
 149.00 , 39087
 150.00 , 39143
 151.00 , 39216
 152.00 , 39307
 153.00 , 39456
 154.00 , 39442
 155.00 , 39519
 156.00 , 39580
 157.00 , 39722
 158.00 , 39740
 159.00 , 39791
 160.00 , 39882
 161.00 , 39885
 162.00 , 39957
 163.00 , 40006
 164.00 , 40043
 165.00 , 40004
 166.00 , 40071
 167.00 , 40109
 168.00 , 40166
 169.00 , 40293
 170.00 , 40335
 171.00 , 40391
 172.00 , 40541
 173.00 , 40651
 174.00 , 40761
 175.00 , 40988
 176.00 , 40923
 177.00 , 40997
 178.00 , 41198
 179.00 , 41307
 180.00 , 41513
 181.00 , 41598
 182.00 , 41667
 183.00 , 41768
 184.00 , 41961
 185.00 , 41952
 186.00 , 42133
 187.00 , 42224
 188.00 , 42295
 189.00 , 42562
 190.00 , 42564
 191.00 , 42517
 192.00 , 42537
 193.00 , 42481
 194.00 , 42392
 195.00 , 42458
 196.00 , 42475
 197.00 , 42499
 198.00 , 42480
 199.00 , 42471
 200.00 , 42524
 201.00 , 42564
 202.00 , 42593
 203.00 , 42580
 204.00 , 42563
 205.00 , 42566
 206.00 , 42594
 207.00 , 42673
 208.00 , 42721
 209.00 , 42807
 210.00 , 42960
 211.00 , 43160
 212.00 , 43204
 213.00 , 43398
 214.00 , 43530
 215.00 , 43594
 216.00 , 43590
 217.00 , 43554
 218.00 , 43595
 219.00 , 43612
 220.00 , 43774
 221.00 , 43865
 222.00 , 44043
 223.00 , 44151
 224.00 , 44208
 225.00 , 44338
 226.00 , 44502
 227.00 , 44607
 228.00 , 44686
 229.00 , 44889
 230.00 , 44973
 231.00 , 45080
 232.00 , 45270
 233.00 , 45230
 234.00 , 45425
 235.00 , 45498
 236.00 , 45682
 237.00 , 45638
 238.00 , 45683
 239.00 , 45758
 240.00 , 45810
 241.00 , 45857
 242.00 , 45920
 243.00 , 46025
 244.00 , 46106
 245.00 , 46222
 246.00 , 46298
 247.00 , 46537
 248.00 , 46696
 249.00 , 46880
 250.00 , 47181
 251.00 , 47508
 252.00 , 47758
 253.00 , 48101
 254.00 , 48503
 255.00 , 49064
 256.00 , 49370
 257.00 , 49582
 258.00 , 49514
 259.00 , 49245
 260.00 , 48828
 261.00 , 48481
 262.00 , 48084
 263.00 , 47761
 264.00 , 47387
 265.00 , 46880
 266.00 , 46454
 267.00 , 46122
 268.00 , 45973
 269.00 , 45943
 270.00 , 45907
 271.00 , 46038
 272.00 , 46251
 273.00 , 46410
 274.00 , 46633
 275.00 , 46875
 276.00 , 47125
 277.00 , 47470
 278.00 , 47903
 279.00 , 48340
 280.00 , 48824
 281.00 , 49307
 282.00 , 49931
 283.00 , 50453
 284.00 , 51107
 285.00 , 51749
 286.00 , 52276
 287.00 , 52666
 288.00 , 53046
 289.00 , 53267
 290.00 , 53433
 291.00 , 53630
 292.00 , 53691
 293.00 , 53586
 294.00 , 53336
 295.00 , 53174
 296.00 , 52975
 297.00 , 52592
 298.00 , 52127
 299.00 , 51235
